@RELATION RapidMinerData

@ATTRIBUTE 'edad' {'10','11','12','13','14','15','16','17','18'}
@ATTRIBUTE 'estudios' {'20','21','22','23'}
@ATTRIBUTE 'claseSocial' {'32','35','31','37','30','33','34','36'}
@ATTRIBUTE 'trabajo' {'42','40','41'}
@ATTRIBUTE 'municipio' {'50','51','52'}
@ATTRIBUTE 'sexo' {'100','101'}
@ATTRIBUTE 'class' {'1','2'}

@DATA
'10','20','32','42','50','100','2'
'10','20','32','42','50','100','2'
'10','20','32','42','50','100','2'
'10','20','32','42','50','100','2'
'10','20','32','42','50','100','2'
'10','20','32','42','50','100','2'
'10','20','32','42','50','100','2'
'10','20','32','42','50','100','2'
'10','20','32','42','50','100','2'
'11','20','32','42','50','100','2'
'11','20','32','42','50','100','2'
'11','20','32','42','50','100','2'
'11','20','32','42','50','100','2'
'11','20','32','42','50','100','2'
'11','20','32','42','50','100','2'
'11','20','32','42','50','100','2'
'11','20','32','42','50','100','2'
'11','20','32','42','50','100','2'
'11','20','32','42','50','100','2'
'11','20','32','42','50','100','2'
'11','20','32','42','50','100','2'
'11','20','32','42','50','100','2'
'11','20','32','42','50','100','2'
'11','20','32','42','50','100','2'
'11','20','32','42','50','100','2'
'11','20','32','42','50','100','2'
'11','20','32','42','50','100','2'
'11','20','32','42','50','100','2'
'11','20','32','42','50','100','2'
'11','20','32','42','50','100','2'
'12','21','35','42','51','100','2'
'12','21','35','42','51','100','2'
'12','21','35','42','51','100','2'
'12','21','35','42','51','100','2'
'12','21','35','42','51','100','2'
'12','21','35','42','51','100','2'
'12','21','35','42','51','100','2'
'12','21','35','42','51','100','2'
'12','21','35','42','51','100','2'
'12','21','35','42','51','100','2'
'12','21','35','42','51','100','2'
'12','21','35','42','51','100','2'
'12','21','35','42','51','100','2'
'12','21','35','42','51','100','2'
'12','21','35','42','51','100','2'
'12','21','35','42','51','100','2'
'12','21','35','42','51','100','2'
'12','21','35','42','51','100','2'
'12','21','35','42','51','100','2'
'12','21','35','42','51','100','2'
'12','21','35','42','51','100','2'
'12','21','35','42','51','100','2'
'13','21','31','42','50','100','2'
'13','21','31','42','50','100','2'
'13','21','31','42','50','100','2'
'13','21','31','42','50','100','2'
